,SLNO,Candidate.Ref,DOJ.Extended,Duration.to.accept.offer,Notice.period,Offered.band,Pecent.hike.expected.in.CTC,Percent.hike.offered.in.CTC,Percent.difference.CTC,Joining.Bonus,Candidate.relocate.actual,Gender,Candidate.Source,Rex.in.Yrs,LOB,Location,Age,Status
10,13,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,INFRA,Noida,34,1
12,15,2156236,Yes,14,30,E2,50.0,287.5,158.33,No,No,Male,Agency,7,INFRA,Noida,29,1
13,16,2158703,No,44,75,E2,45.45,60.0,10.0,No,No,Male,Direct,8,INFRA,Noida,34,1
14,17,2161257,No,7,30,E3,53.85,50.0,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,34,1
16,19,2166041,Yes,98,30,E2,50.0,165.36,76.91,No,No,Male,Agency,8,INFRA,Noida,36,1
25,28,2205244,No,16,60,E1,41.18,0.0,-29.17,No,No,Male,Direct,7,AXON,Noida,31,1
28,31,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,BFSI,Chennai,34,1
32,38,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,ERS,Hyderabad,23,1
33,39,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,INFRA,Chennai,29,1
40,47,2227339,Yes,46,30,E3,22.22,260.0,194.55,No,No,Male,Employee Referral,13,ERS,Chennai,36,1
45,53,2238751,Yes,54,60,E3,35.0,31.0,-2.96,No,No,Male,Employee Referral,9,INFRA,Noida,34,1
46,54,2238809,No,33,75,E3,31.82,31.82,0.0,No,No,Male,Employee Referral,7,INFRA,Noida,20,1
47,56,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,INFRA,Noida,30,1
52,65,2286200,Yes,5,120,E1,42.86,0.0,-30.0,No,No,Male,Direct,5,AXON,Noida,28,1
58,71,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,ETS,Bangalore,29,1
62,76,2322849,Yes,19,60,E2,50.0,30.5,-13.0,No,No,Male,Agency,10,ERS,Chennai,33,1
66,84,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,ERS,Chennai,27,1
75,98,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,BFSI,Bangalore,31,1
